Tamil,English
The answer leads us to a vicious circle.,பதில் நம்மை ஒரு தீய வட்டத்திற்கு இட்டுச் செல்கிறது.
I'm too lazy to do my homework.,வீட்டுப்பாடம் செய்ய நான் மிகவும் சோம்பேறியாக இருக்கிறேன்.
What... you still don't know how to drive?,என்ன... உனக்கு இன்னும் ஓட்டத் தெரியாதா?
Have you got a beard already?,உங்களுக்கு ஏற்கனவே தாடி இருக்கிறதா?
I feel that I am free.,நான் சுதந்திரமாக இருப்பதை உணர்கிறேன்.
Freedom is not free.,சுதந்திரம் இலவசம் அல்ல.
I created a shortcut on the desktop.,டெஸ்க்டாப்பில் குறுக்குவழியை உருவாக்கினேன்.
I want an MP3 player!,எனக்கு ஒரு MP3 பிளேயர் வேண்டும்!
My brother is very important. At least he thinks he is.,என் சகோதரன் மிக முக்கியமானவன். குறைந்தபட்சம் அவர் தான் என்று நினைக்கிறார்.
While eating a pizza he was annoying his sister.,பீட்சா சாப்பிடும் போது தங்கையை தொந்தரவு செய்து கொண்டிருந்தான்.
"At this rate, we're not likely to be done before the end of the week.","இந்த விகிதத்தில், வார இறுதிக்குள் நாங்கள் முடிக்கப்பட வாய்ப்பில்லை."
I guess my view on friendship is pretty bleak because I've never really had to rely on anyone for anything.,"நட்பைப் பற்றிய எனது பார்வை மிகவும் இருண்டது என்று நான் நினைக்கிறேன், ஏனென்றால் நான் எதற்கும் யாரையும் நம்பியிருக்க வேண்டியதில்லை."
What?! You ate my chocolate bear?!,என்ன?! என் சாக்லேட் கரடியை சாப்பிட்டாயா?!
"No, I cannot let you in, there's one person too many.","இல்லை, என்னால் உங்களை உள்ளே அனுமதிக்க முடியாது, ஒருவர் அதிகம்."
Where are you?,நீங்கள் எங்கே இருக்கிறீர்கள்?
He will make you eat dirt.,அவர் உங்களை அழுக்கு சாப்பிட வைப்பார்.
He's got a face like a month of wet Sundays.,ஒரு மாதம் ஈரமான ஞாயிற்றுக்கிழமைகளைப் போன்ற முகம் அவருக்கு இருக்கிறது.
"Holy crap, who's the asshole who dares call me in the middle of the night?!","புனித தனம், நள்ளிரவில் என்னை அழைக்கத் துணிந்த கழுதை யார்?!"
He has just published an interesting series of articles.,அவர் ஒரு சுவாரஸ்யமான தொடர் கட்டுரையை வெளியிட்டுள்ளார்.
You piss me off!,நீ என்னை சீண்டுகிறாய்!
No way!,வழி இல்லை!
It's a dead end.,இது ஒரு முட்டுச்சந்தாகும்.
I don't necessarily trust translations.,நான் மொழிபெயர்ப்புகளை நம்ப வேண்டிய அவசியமில்லை.
To share one's passion is to live it fully.,ஒருவரின் ஆர்வத்தைப் பகிர்ந்துகொள்வது அதை முழுமையாக வாழ்வதாகும்.
"The day before yesterday you impressed everyone, but I already knew you.","நேற்று முன் தினம் நீங்கள் அனைவரையும் கவர்ந்தீர்கள், ஆனால் நான் உங்களை ஏற்கனவே அறிவேன்."
"If I showed you my house, my neighborhood back then, would you understand where I am from?","அப்போது என் வீட்டையும், என் சுற்றுப்புறத்தையும் காட்டினால், நான் எங்கிருந்து வருகிறேன் என்பது புரியுமா?"
"Life is not long, it is wide!","வாழ்க்கை நீண்டது அல்ல, பரந்தது!"
"When I was your age, Pluto was a planet.","நான் உங்கள் வயதில் இருந்தபோது, ​​புளூட்டோ ஒரு கிரகமாக இருந்தது."
She is on the verge of a nervous breakdown.,அவள் நரம்பு தளர்ச்சியின் விளிம்பில் இருக்கிறாள்.
Elephants are the largest land animals alive today.,இன்று வாழும் நிலத்தில் வாழும் விலங்குகளில் யானைகளே பெரியது.
"If you teach me how to dance, I will show you my hidden scars.","எனக்கு நடனமாடக் கற்றுக் கொடுத்தால், நான் மறைந்திருக்கும் தழும்புகளைக் காட்டுவேன்."
The elevators in a skyscraper are vital systems.,வானளாவிய கட்டிடத்தில் உள்ள லிஃப்ட் முக்கிய அமைப்புகள்.
Fruits and vegetables are essential to a balanced diet.,பழங்கள் மற்றும் காய்கறிகள் ஒரு சீரான உணவுக்கு அவசியம்.
"Cheese is a solid food made from the milk of cows, goats, sheep, and other mammals.","சீஸ் என்பது பசுக்கள், ஆடுகள், செம்மறி ஆடுகள் மற்றும் பிற பாலூட்டிகளின் பாலில் இருந்து தயாரிக்கப்படும் ஒரு திட உணவு."
"I still don't like Cavalieri, Tonelli, or Fubini... and my oral calculus exam is already tomorrow.","எனக்கு இன்னும் கவாலியேரி, டோனெல்லி அல்லது ஃபுபினி பிடிக்கவில்லை... மேலும் எனது வாய்வழி கால்குலஸ் தேர்வு நாளை நடைபெற உள்ளது."
I usually take a shower in the evening.,நான் வழக்கமாக மாலையில் குளிப்பது வழக்கம்.
He spent the evening reading a book.,மாலைப் பொழுதை புத்தகம் படிப்பதில் செலவிட்டார்.
You have been thinking about this problem the whole morning. Take a break; go eat lunch.,நீங்கள் காலை முழுவதும் இந்த பிரச்சனையை பற்றி யோசித்துக்கொண்டிருக்கிறீர்கள். ஓய்வு எடுத்துக் கொள்ளுங்கள்; மதிய உணவு சாப்பிட போ.
"If I don't do it now, I never will.","நான் இப்போது செய்யவில்லை என்றால், நான் ஒருபோதும் செய்ய மாட்டேன்."
Good night. Sweet dreams.,நல்ல இரவு. இனிமையான கனவுகள்.
This song is so moving that it brings tears to my eyes.,இந்த பாடல் என் கண்களில் கண்ணீரை வரவழைக்கும் அளவுக்கு நெகிழ்கிறது.
There are a lot of things you don't know about my personality.,என் ஆளுமையைப் பற்றி உங்களுக்குத் தெரியாத விஷயங்கள் ஏராளம்.
"Perhaps you are right, I have been selfish.","ஒருவேளை நீங்கள் சொல்வது சரிதான், நான் சுயநலவாதியாக இருந்தேன்."
Everyone deserves a second chance.,ஒவ்வொருவரும் இரண்டாவது வாய்ப்புக்கு தகுதியானவர்கள்.
"When we borrow money, we must agree on the conditions.","நாம் கடன் வாங்கும்போது, ​​நிபந்தனைகளை ஒப்புக்கொள்ள வேண்டும்."
What is the advantage of this technology?,இந்த தொழில்நுட்பத்தின் நன்மை என்ன?
"If you do not have this program, you can download it now.","உங்களிடம் இந்த நிரல் இல்லையென்றால், அதை இப்போது பதிவிறக்கம் செய்யலாம்."
The headline caught my eye this morning.,இன்று காலை தலைப்புச் செய்தி கண்ணில் பட்டது.
Gonzales offers a bike to all his employees in Europe.,கோன்சலேஸ் ஐரோப்பாவில் உள்ள தனது பணியாளர்கள் அனைவருக்கும் பைக்கை வழங்குகிறார்.
There are 1000 movies that one must watch before dying.,ஒருவர் இறப்பதற்கு முன் பார்க்க வேண்டிய 1000 திரைப்படங்கள் உள்ளன.
"I have been told that I am pragmatic, and I am.","நான் பிரக்ஞையுள்ளவன், நான் இருக்கிறேன் என்று சொல்லப்பட்டிருக்கிறது."
"I prefer to look for a solution to problems, not only to report them.","பிரச்சனைகளைப் புகாரளிப்பது மட்டுமல்ல, அதற்கான தீர்வையும் தேட விரும்புகிறேன்."
I'm running out of ideas.,எனக்கு யோசனைகள் தீர்ந்துவிட்டது.
"The seven questions that an engineer has to ask himself are: who, what, when, where, why, how and how much.","ஒரு பொறியாளர் தன்னைத்தானே கேட்டுக் கொள்ள வேண்டிய ஏழு கேள்விகள்: யார், என்ன, எப்போது, ​​எங்கே, ஏன், எப்படி, எவ்வளவு."
You are still asking yourself what the meaning of life is?,வாழ்க்கையின் அர்த்தம் என்ன என்று நீங்கள் இன்னும் கேட்கிறீர்களா?
When can one say that a person has alcohol issues?,ஒரு நபருக்கு ஆல்கஹால் பிரச்சினைகள் இருப்பதாக எப்போது சொல்ல முடியும்?
Remember that we are all in the same boat.,நாம் அனைவரும் ஒரே படகில் இருக்கிறோம் என்பதை நினைவில் கொள்ளுங்கள்.
"All I need to know about life, I learned from a snowman.","வாழ்க்கையைப் பற்றி நான் தெரிந்து கொள்ள வேண்டிய அனைத்தும், நான் ஒரு பனிமனிதனிடமிருந்து கற்றுக்கொண்டேன்."
Check that your username and password are written correctly.,உங்கள் பயனர்பெயர் மற்றும் கடவுச்சொல் சரியாக எழுதப்பட்டுள்ளதா என சரிபார்க்கவும்.
Goodbyes are always sad.,விடைபெறுவது எப்போதும் சோகமானது.
Don't forget about us!,எங்களைப் பற்றி மறந்துவிடாதே!
Time has passed very fast.,காலம் மிக வேகமாக கடந்துவிட்டது.
Which is your luggage?,உங்கள் சாமான் எது?
"Open the cupboard to the left, the bottles are in there.","அலமாரியை இடதுபுறமாகத் திறக்கவும், பாட்டில்கள் உள்ளன."
There are also nightclubs where you dance flamenco.,நீங்கள் ஃபிளமெங்கோ நடனமாடும் இரவு விடுதிகளும் உள்ளன.
The entrÃ©e includes a beverage.,நுழைவாயில் ஒரு பானத்தை உள்ளடக்கியது.
I suggest that we go out on Friday.,நாங்கள் வெள்ளிக்கிழமை வெளியே செல்ல பரிந்துரைக்கிறேன்.
That way I kill two birds with one stone.,அந்த வகையில் ஒரே கல்லில் இரண்டு மாங்காய்களை கொல்கிறேன்.
Do you have professional experience?,உங்களுக்கு தொழில் அனுபவம் உள்ளதா?
How much do you leave for a tip in Spain?,ஸ்பெயினில் ஒரு உதவிக்குறிப்புக்கு எவ்வளவு செலவழிக்கிறீர்கள்?
Who painted this painting?,இந்த ஓவியத்தை வரைந்தவர் யார்?
"At this hour, there is incredible traffic.","இந்த நேரத்தில், நம்பமுடியாத போக்குவரத்து உள்ளது."
We men are used to waiting for the women.,ஆண்களாகிய நாம் பெண்களுக்காகக் காத்திருக்கப் பழகிவிட்டோம்.
Aren't you ashamed to talk like that?,இப்படி பேச உங்களுக்கு வெட்கமாக இல்லையா?
"Now I have to leave, they're calling for my flight.","இப்போது நான் புறப்பட வேண்டும், அவர்கள் எனது விமானத்திற்கு அழைக்கிறார்கள்."
He's Argentinean and he gives tennis lessons.,"அவர் அர்ஜென்டினாவைச் சேர்ந்தவர், அவர் டென்னிஸ் பாடங்களைக் கற்றுக்கொடுக்கிறார்."
"Please, can you indicate this to me on the map?","தயவுசெய்து, இதை வரைபடத்தில் எனக்குக் குறிப்பிட முடியுமா?"
The tap is running.,குழாய் ஓடுகிறது.
Please tell us where there is a grocery store.,மளிகைக் கடை எங்க இருக்குன்னு சொல்லுங்க.
I am four months pregnant.,நான் நான்கு மாத கர்ப்பிணி.
I've got a pacemaker.,என்னிடம் பேஸ்மேக்கர் உள்ளது.
I would like batteries for this device.,இந்த சாதனத்திற்கான பேட்டரிகளை நான் விரும்புகிறேன்.
Can I pay by credit card?,நான் கிரெடிட் கார்டு மூலம் பணம் செலுத்தலாமா?
"Cut, wash and dry, please.","வெட்டி, கழுவி உலர வைக்கவும்."
I feed my cat every morning and every evening.,நான் தினமும் காலையிலும் மாலையிலும் என் பூனைக்கு உணவளிக்கிறேன்.
Could you please repeat that?,தயவுசெய்து அதை மீண்டும் செய்ய முடியுமா?
"Generally, who visits their parents more, sons or daughters?","பொதுவாக, மகன்கள் அல்லது மகள்கள் யார் தங்கள் பெற்றோரை அதிகம் சந்திக்கிறார்கள்?"
It would of course be cheaper for you to sleep at our place.,நீங்கள் எங்கள் இடத்தில் தூங்குவது நிச்சயமாக மலிவானதாக இருக்கும்.
You will find this in a hardware store.,இதை வன்பொருள் கடையில் காணலாம்.
Every effort deserves a reward.,ஒவ்வொரு முயற்சிக்கும் வெகுமதி கிடைக்கும்.
It costs an arm and a leg.,இதற்கு ஒரு கை மற்றும் கால் செலவாகும்.
More than 90 percent of visits to a web page are from search engines.,வலைப்பக்கத்திற்கு 90 சதவீதத்திற்கும் அதிகமான வருகைகள் தேடுபொறிகளிலிருந்து வந்தவை.
I need your advice.,எனக்கு உங்கள் ஆலோசனை தேவை.
Any chance you know where I put my keys?,எனது சாவியை எங்கு வைத்தேன் என்று உங்களுக்குத் தெரியுமா?
I'm getting ready for the worst.,நான் மோசமான நிலைக்கு தயாராகி வருகிறேன்.
"Why did you wake me up to tell me something that big? Now, I'll never be able to concentrate on my work!","எதற்காக இவ்வளவு பெரிய விஷயத்தைச் சொல்லி என்னை எழுப்பினாய்? இப்போது, ​​என்னால் என் வேலையில் கவனம் செலுத்த முடியாது!"
That sounds interesting. What did you tell her?,சுவாரஸ்யமாகத் தெரிகிறது. அவளிடம் என்ன சொன்னாய்?
Where is your twenty? I'll give you five bucks for it.,உங்கள் இருபது எங்கே? அதற்கு ஐந்து ரூபாய் தருகிறேன்.
"Little by little, you will notice improvement in your writings.",கொஞ்சம் கொஞ்சமாக உங்கள் எழுத்துக்களில் முன்னேற்றம் காண்பீர்கள்.
I knew it was plastic but it tasted like wood.,"அது பிளாஸ்டிக் என்று எனக்குத் தெரியும், ஆனால் அது மரம் போல சுவைத்தது."
Sometimes Spenser cares so much about Trang that he leads her to believe he is being overprotective.,சில சமயங்களில் ஸ்பென்சர் ட்ராங்கைப் பற்றி அதிகம் அக்கறை காட்டுகிறார்.
There are things in this world which simply cannot be expressed in the form of words.,இந்த உலகில் வார்த்தைகளால் வெளிப்படுத்த முடியாத விஷயங்கள் உள்ளன.
The most perfidious way of harming a cause consists of defending it deliberately with faulty arguments.,"ஒரு காரணத்திற்கு தீங்கு விளைவிக்கும் மிகவும் துரோகமான வழி, தவறான வாதங்களுடன் வேண்டுமென்றே அதைப் பாதுகாப்பதாகும்."
Take good care of yourself.,உங்களை நன்றாக கவனித்துக் கொள்ளுங்கள்.
"As he sits in the dark, typing away at his computer, he hears the sound of morning birds chirping away and realizes he has been up all night - but the insomniac still refuses to sleep.","அவர் இருட்டில் அமர்ந்து, தனது கணினியைத் தட்டச்சு செய்துகொண்டிருக்கும்போது, ​​காலைப் பறவைகள் கிண்டல் செய்யும் சத்தத்தைக் கேட்டு, இரவு முழுவதும் அவர் விழித்திருப்பதை உணர்ந்தார் - ஆனால் தூக்கமின்மை இன்னும் தூங்க மறுக்கிறது."
"Try as you might, but you cannot force a belief onto someone else, much less your own self.","உங்களால் முடிந்தவரை முயற்சி செய்யுங்கள், ஆனால் உங்களால் மற்றவர் மீது நம்பிக்கையை திணிக்க முடியாது."
The functions sine and cosine take values between -1 and 1 (-1 and 1 included).,சைன் மற்றும் கொசைன் செயல்பாடுகள் -1 மற்றும் 1 (-1 மற்றும் 1 ஆகியவை அடங்கும்) இடையே மதிப்புகளை எடுக்கும்.
I am against using death as a punishment. I am also against using it as a reward.,மரணத்தை தண்டனையாக பயன்படுத்துவதை நான் எதிர்க்கிறேன். அதை வெகுமதியாகப் பயன்படுத்துவதையும் நான் எதிர்க்கிறேன்.
The second half of a man's life is made up of nothing but the habits he has acquired during the first half.,"ஒரு மனிதனின் வாழ்க்கையின் இரண்டாம் பாதி, முதல் பாதியில் அவன் பெற்ற பழக்கவழக்கங்களைத் தவிர வேறொன்றும் இல்லை."
Can I stay at your place? I have nowhere to go.,நான் உங்கள் இடத்தில் தங்கலாமா? நான் செல்ல எங்கும் இல்லை.
"Girls are more likely than boys to be malnourished, suffer poverty, face violence and be refused an education, according to a new report.","ஒரு புதிய அறிக்கையின்படி, ஆண்களை விட பெண் குழந்தைகள் ஊட்டச்சத்து குறைபாடு, வறுமை, வன்முறையை எதிர்கொள்வது மற்றும் கல்வி மறுக்கப்படுவதற்கான வாய்ப்புகள் அதிகம்."
If only we'd stop trying to be happy we could have a pretty good time.,நாம் மகிழ்ச்சியாக இருக்க முயற்சி செய்வதை நிறுத்தினால் மட்டுமே நாம் ஒரு நல்ல நேரத்தை பெற முடியும்.
"On May 18, a young Japanese couple was arrested after their one-year-old baby was found wrapped in a plastic bag and dumped in a gutter.","மே 18 அன்று, ஜப்பானிய இளம் தம்பதியொருவர் தங்களுடைய ஒரு வயது குழந்தை பிளாஸ்டிக் பையில் சுற்றப்பட்டு சாக்கடையில் வீசப்பட்டதை அடுத்து கைது செய்யப்பட்டனர்."
"We are haunted by an ideal life, and it is because we have within us the beginning and the possibility for it.","நாம் ஒரு இலட்சிய வாழ்க்கையால் வேட்டையாடப்படுகிறோம், அதற்கான தொடக்கமும் சாத்தியமும் நமக்குள்ளே இருப்பதால் தான்."
"Death is only a horizon, and a horizon is nothing save the limit of our sight.","மரணம் என்பது ஒரு அடிவானம் மட்டுமே, ஒரு அடிவானம் என்பது நம் பார்வையின் எல்லையைத் தவிர வேறொன்றுமில்லை."
The scientific theory I like the best is that the rings of Saturn are composed entirely of lost luggage.,சனிக்கோளின் வளையங்கள் முற்றிலும் தொலைந்து போன சாமான்களால் ஆனது என்பது எனக்கு மிகவும் பிடித்த அறிவியல் கோட்பாடு.
The only way on Earth to multiply happiness is to divide it.,மகிழ்ச்சியைப் பெருக்க பூமியில் உள்ள ஒரே வழி அதைப் பிரிப்பதுதான்.
A known mistake is better than an unknown truth.,அறியாத உண்மையை விட தெரிந்த தவறு சிறந்தது.
"Life is not an exact science, it is an art.","வாழ்க்கை ஒரு துல்லியமான அறிவியல் அல்ல, அது ஒரு கலை."
Everything is theoretically impossible until it's done.,அது முடியும் வரை எல்லாம் கோட்பாட்டளவில் சாத்தியமற்றது.
"Until you make peace with who you are, you'll never be content with what you have.","நீங்கள் யார் என்பதை நீங்கள் சமாதானம் செய்யும் வரை, உங்களிடம் இருப்பதைக் கொண்டு நீங்கள் திருப்தி அடைய மாட்டீர்கள்."
"You may be disappointed if you fail, but you are doomed if you don't try.","நீங்கள் தோல்வியுற்றால் நீங்கள் ஏமாற்றமடையலாம், ஆனால் நீங்கள் முயற்சி செய்யாவிட்டால் நீங்கள் அழிந்துவிடுவீர்கள்."
"Boredom is the feeling that everything is a waste of time; serenity, that nothing is.","சலிப்பு என்பது எல்லாமே நேரத்தை வீணடிப்பது என்ற உணர்வு; அமைதி, எதுவும் இல்லை என்று."
"Never lose sight of the importance of a beautiful sunrise, or watching your kids sleep, or the smell of rain. It's often the small things that really matter in life.","அழகான சூரிய உதயத்தின் முக்கியத்துவத்தையோ, உங்கள் குழந்தைகள் தூங்குவதையோ, மழையின் வாசனையையோ ஒருபோதும் மறந்துவிடாதீர்கள். வாழ்க்கையில் பெரும்பாலும் சிறிய விஷயங்கள் தான் முக்கியம்."
There is no distance on this earth as far away as yesterday.,நேற்றைய தூரம் இந்தப் பூமியில் இல்லை.
Only those who risk going too far will know how far one can go.,அதிக தூரம் செல்லும் அபாயம் உள்ளவர்களுக்கு மட்டுமே ஒருவர் எவ்வளவு தூரம் செல்ல முடியும் என்பது தெரியும்.
Every man takes the limits of his own field of vision for the limits of the world.,ஒவ்வொரு மனிதனும் தனது சொந்த பார்வையின் எல்லைகளை உலகின் எல்லைகளுக்கு எடுத்துக்கொள்கிறான்.
We can travel through time. And we do at the remarkable rate of one second per second.,நாம் காலத்தின் வழியாக பயணிக்க முடியும். ஒரு வினாடிக்கு ஒரு வினாடி என்ற குறிப்பிடத்தக்க விகிதத்தில் நாங்கள் செய்கிறோம்.
The real problem is not whether machines think but whether men do.,"இயந்திரங்கள் சிந்திக்குமா என்பதல்ல, மனிதர்கள் சிந்திக்கிறார்களா என்பதே உண்மையான பிரச்சனை."
My interest is in the future because I'm going to spend the rest of my life there.,"எனது ஆர்வம் எதிர்காலத்தில் உள்ளது, ஏனென்றால் நான் என் வாழ்நாள் முழுவதையும் அங்கேயே கழிக்கப் போகிறேன்."
"The world is a book, and those who do not travel read only a page.","உலகம் ஒரு புத்தகம், பயணம் செய்யாதவர்கள் ஒரு பக்கத்தை மட்டுமே படிக்கிறார்கள்."
The problem with many things is the pre-conceived ideas we have about them!,"பல விஷயங்களில் சிக்கல் என்னவென்றால், அவற்றைப் பற்றி நாம் முன்வைத்த கருத்துக்கள்!"
The best way to predict the future is to invent it.,எதிர்காலத்தை கணிக்க சிறந்த வழி அதை கண்டுபிடிப்பதாகும்.
Advertising may be described as the science of arresting the human intelligence long enough to get money from it.,விளம்பரம் என்பது மனித புத்திசாலித்தனத்திலிருந்து பணத்தைப் பெறுவதற்கு நீண்ட காலமாக கைது செய்யும் அறிவியல் என்று விவரிக்கப்படலாம்.
"If we knew what we were doing, it wouldn't be called research, would it?",நாம் என்ன செய்கிறோம் என்று தெரிந்தால் அது ஆராய்ச்சி என்று சொல்லப்படாது அல்லவா?
"To the man who only has a hammer in the toolkit, every problem looks like a nail.",டூல்கிட்டில் சுத்தியலை மட்டும் வைத்திருக்கும் மனிதனுக்கு ஒவ்வொரு பிரச்சனையும் ஆணி போல் தெரிகிறது.
Nothing is impossible for the man who doesn't have to do it himself.,தானே செய்ய வேண்டிய அவசியமில்லாத மனிதனால் முடியாதது எதுவுமில்லை.
That's the thing about people who think they hate computers. What they really hate is lousy programmers.,கணினியை வெறுக்கிறேன் என்று நினைக்கும் நபர்களின் விஷயம் இதுதான். அவர்கள் உண்மையில் வெறுப்பது மோசமான புரோகிராமர்களை.
"It is not the strongest of the species that survives, not the most intelligent, but the one most responsive to change.","இது உயிர்வாழும் உயிரினங்களில் வலிமையானது அல்ல, மிகவும் புத்திசாலி அல்ல, ஆனால் மாற்றத்திற்கு மிகவும் பதிலளிக்கக்கூடிய ஒன்றாகும்."
"I think it is good that books still exist, but they do make me sleepy.","புத்தகங்கள் இன்னும் இருப்பது நல்லது என்று நான் நினைக்கிறேன், ஆனால் அவை என்னை தூங்க வைக்கின்றன."
I can't understand why people are frightened of new ideas. I'm frightened of the old ones.,புதிய யோசனைகளுக்கு மக்கள் ஏன் பயப்படுகிறார்கள் என்பதை என்னால் புரிந்து கொள்ள முடியவில்லை. நான் பழையவற்றைக் கண்டு பயப்படுகிறேன்.
Hope is not a strategy.,நம்பிக்கை ஒரு உத்தி அல்ல.
"Japan is full of beautiful cities. Kyoto and Nara, for instance.","ஜப்பான் அழகான நகரங்கள் நிறைந்தது. உதாரணமாக, கியோட்டோ மற்றும் நாரா."
They are waiting for you in front of the door.,அவர்கள் கதவின் முன் உங்களுக்காக காத்திருக்கிறார்கள்.
Do you have a pen on you?,உங்களிடம் பேனா இருக்கிறதா?
Whose is this?,இது யாருடையது?
"Since Mario lied to me, I don't speak to him anymore.","மரியோ என்னிடம் பொய் சொன்னதால், நான் அவனிடம் இனி பேசுவதில்லை."
It's a good deal.,இது ஒரு நல்ல ஒப்பந்தம்.
Pick up your things and go away.,உங்கள் பொருட்களை எடுத்துக்கொண்டு செல்லுங்கள்.
Put your hands down!,கைகளை கீழே போடு!
He laughs best who laughs last.,கடைசியாக சிரிப்பவர் சிறப்பாகச் சிரிக்கிறார்.
"The sooner, the better.","விரைவில், சிறந்தது."
He doesn't look his age.,அவருக்கு வயது தெரியவில்லை.
Do you like rap?,உங்களுக்கு ராப் பிடிக்குமா?
I love trips.,எனக்கு பயணங்கள் பிடிக்கும்.
I really wasn't expecting that from you.,நான் அதை உங்களிடமிருந்து உண்மையில் எதிர்பார்க்கவில்லை.
I've been waiting for hours.,நான் மணிக்கணக்கில் காத்திருக்கிறேன்.
He died at a very old age.,அவர் மிகவும் வயதான காலத்தில் இறந்தார்.
He's an old timer.,அவர் ஒரு பழைய டைமர்.
That's the snag.,அதுதான் சிக்கலே.
"We are what we pretend to be, so we must be careful what we pretend to be.","நாம் எப்படி நடிக்கிறோமோ அதுவாகவே இருக்கிறோம், எனவே நாம் எப்படி நடிக்கிறோம் என்பதில் கவனமாக இருக்க வேண்டும்."
I don't know him.,எனக்கு அவரைத் தெரியாது.
I liked this film.,இந்தப் படம் எனக்குப் பிடித்திருந்தது.
She's rolling in money.,அவள் பணம் சுருட்டுகிறாள்.
It's not important.,அது முக்கியமில்லை.
I don't care.,நான் கவலைப்படவில்லை.
I was about to go out when the phone rang.,நான் வெளியே செல்ல இருந்த போது போன் அடித்தது.
Look carefully. I'm going to show you how it's done.,கவனமாக பாருங்கள். அதை எப்படி செய்வது என்று நான் உங்களுக்குக் காட்டப் போகிறேன்.
People should understand that the world is changing.,உலகம் மாறிக்கொண்டிருக்கிறது என்பதை மக்கள் புரிந்து கொள்ள வேண்டும்.
"Speech is silver, but silence is golden.","பேச்சு வெள்ளி, ஆனால் மௌனம் பொன்னானது."
Fifty-two per cent of British women prefer chocolate to sex.,பிரித்தானிய பெண்களில் 52 சதவீதம் பேர் உடலுறவை விட சாக்லேட்டை விரும்புகிறார்கள்.
I don't like these remarks.,இந்தக் கருத்துக்கள் எனக்குப் பிடிக்கவில்லை.
I'm not convinced at all.,நான் நம்பவே இல்லை.
Why do you want to leave today?,நீங்கள் ஏன் இன்று வெளியேற விரும்புகிறீர்கள்?
I'm going to take my car.,நான் என் காரை எடுக்கப் போகிறேன்.
It's too good to be true.,உண்மையாக இருப்பது மிகவும் நல்லது.
You cannot achieve the impossible without attempting the absurd.,அபத்தத்தை முயற்சிக்காமல் சாத்தியமற்றதை அடைய முடியாது.
"You should only count on yourself--but even then, not too much.","நீங்கள் உங்களை மட்டுமே நம்ப வேண்டும் - ஆனால் கூட, அதிகமாக இல்லை."
To be quiet in class is to respect other people's sleep.,வகுப்பில் அமைதியாக இருப்பது என்பது மற்றவர்களின் தூக்கத்திற்கு மதிப்பளிப்பதாகும்.
Logic is a systematic method of coming to the wrong conclusion with confidence.,தர்க்கம் என்பது நம்பிக்கையுடன் தவறான முடிவுக்கு வருவதற்கான ஒரு முறையான முறையாகும்.
Cole's Axiom: The sum of the intelligence on the planet is a constant; the population is growing.,கோலின் கோட்பாடு: கிரகத்தில் உள்ள நுண்ணறிவின் கூட்டுத்தொகை ஒரு நிலையானது; மக்கள் தொகை பெருகி வருகிறது.
People will accept your idea much more readily if you tell them Benjamin Franklin said it first.,பெஞ்சமின் ஃபிராங்க்ளின் முதலில் சொன்னதாகச் சொன்னால் மக்கள் உங்கள் யோசனையை மிக எளிதாக ஏற்றுக்கொள்வார்கள்.
"If you see a man approaching you with the obvious intention of doing you good, you should run for your life.","உங்களுக்கு நல்லது செய்ய வேண்டும் என்ற வெளிப்படையான நோக்கத்துடன் ஒரு மனிதர் உங்களை அணுகுவதை நீங்கள் கண்டால், உங்கள் உயிரைக் காப்பாற்ற நீங்கள் ஓட வேண்டும்."
We learn from experience that men never learn anything from experience.,அனுபவத்தில் இருந்து ஆண்கள் எதையும் கற்றுக் கொள்வதில்லை என்பதை அனுபவத்தில் இருந்து கற்றுக்கொள்கிறோம்.
Better late than never.,எப்போதும் இல்லாததை விட தாமதமாக வருவது நல்லது.
"Like father, like son.","தந்தையைப் போல, மகனைப் போல."
The early bird catches the worm.,ஆரம்பகால பறவை புழுவைப் பிடிக்கிறது.
In life there are ups and downs.,வாழ்க்கையில் ஏற்ற தாழ்வுகள் உண்டு.
All cats are grey in the dark.,அனைத்து பூனைகளும் இருட்டில் சாம்பல் நிறத்தில் இருக்கும்.
Teach me how you do it.,நீங்கள் அதை எப்படி செய்கிறீர்கள் என்று எனக்குக் கற்றுக் கொடுங்கள்.
No news is good news.,எந்த செய்தியும் நல்ல செய்தி அல்ல.
"Wealth comes to those who make things happen, not to those who let things happen.","காரியங்களை நடக்க விடுபவர்களுக்கு அல்ல, காரியங்களை நடக்க வைப்பவர்களுக்கு செல்வம் வரும்."
"If you think education is expensive, wait till you see what ignorance costs you.","கல்வி விலை உயர்ந்தது என்று நீங்கள் நினைத்தால், அறியாமை உங்களுக்கு என்ன விலை கொடுக்கிறது என்பதைப் பார்க்கும் வரை காத்திருங்கள்."
I was expecting it!,நான் எதிர்பார்த்தேன்!
"The world is divided into people who get things done, and people who get the credit.","உலகமானது காரியங்களைச் செய்பவர்கள் என்றும், நன்மதிப்பைப் பெறுபவர்கள் என்றும் பிரிக்கப்பட்டுள்ளது."
I don't expect anything from you.,நான் உங்களிடமிருந்து எதையும் எதிர்பார்க்கவில்லை.
Wait in the waiting room.,காத்திருப்பு அறையில் காத்திருங்கள்.
More people get into trouble for things they say rather than for what they do.,என்ன செய்கிறார்கள் என்பதை விட அவர்கள் சொல்லும் விஷயங்களுக்காக அதிகமான மக்கள் சிக்கலில் சிக்குகிறார்கள்.
